ell_values,kappa_values
10.0,3.8369671256239785e-9
13.21620729433604,4.3528621303835525e-9
17.466813524686128,4.743293010726548e-9
23.084502831376422,4.926555325035616e-9
30.508957470615808,4.83931162758547e-9
40.32127062657409,4.460721011217499e-9
53.2894270971826,3.843403004691015e-9
70.42841151127737,3.1170605221702012e-9
93.07964859438445,2.4243882345960176e-9
123.01599307073393,1.8396988204557677e-9
162.58048649414266,1.3528910073453692e-9
214.86974115205913,9.52543821595395e-10
283.97630403459397,6.588308547125802e-10
375.3089700800592,4.5742614302808867e-10
496.01611480018283,3.1882231219116535e-10
655.5451794530396,2.2641586185570577e-10
866.3820982454096,1.6454717194471356e-10
1145.0285406513153,1.2227130084187355e-10
1513.2934551178857,9.203118148241097e-11
2000.0000000000002,6.907805841987758e-11
